run_dir,vz,vh,dist,fuel,time,total_score,ALT_POWERED_DESCENT,ALT_HOVER,ALT_TERMINAL,RATE_PD,RATE_HOVER,RATE_TERMINAL,TARGET_RATIO,PD_KP,PD_KD,HOVER_KP,HOVER_KD,HOVER_APP_K,HOVER_APP_MAX,TERM_KP,TERM_KD,TERM_APP_K,TERM_APP_MAX,NOTES
20260618_081834_seed42,-2.1,4.4,16.1,1037,76,108.4,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.15,1.0,,,,,,,
20260618_084019_seed42,9.0,31.4,63.9,1160,87,383.8,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.15,1.0,,,,,,,
20260618_083354_seed42,48.2,14.4,65.9,636,50,405.1,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.15,1.0,,,,,,,
20260618_091015_seed42,46.1,22.5,48.2,559,46,321.5,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.2,2.0,,,,,,,
20260618_091803_seed42,-5.9,53.6,348.1,947,90,1819.9,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.2,2.0,,,,,,,
20260618_092520_seed42,3.8,24.8,12.0,906,89,107.8,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.2,2.0,,,,,,,
20260618_092358_seed42,154.2,4.5,15.7,0,23,237.2,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.2,2.0,,,,,,,
20260618_093524_seed42,49.8,39.5,95.9,482,47,579.0,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.2,2.0,,,,,,,
20260618_093829_seed42,1.5,24.8,68.2,1284,89,393.9,1600.0,50.0,10.0,,5.0,5.0,,0.2,1.0,0.2,2.0,,,,,,,
20260618_100435_seed42,17.0,22.9,3.2,1012,73,76.9,1600.0,50.0,10.0,100.0,5.0,5.0,0.9,0.2,1.0,0.2,2.0,0.08,12.0,0.8,4.0,0.12,5.0,
latest,0.6,1.4,1.7,2270,104,57.2,2500.0,150.0,50.0,150.0,20.0,0.8,0.95,0.4,1.8,1.0,2.5,0.02,8.0,0.5,2.0,0.12,2.0,
